,word,attn_mean,counts
0,[CLS],0.011487469313109169,2530
1,[UNK],0.2335094716739334,4439
2,名詞,0.0018923585604901216,212083
3,や,0.008802865405779955,2073
4,を,0.01917239812038424,13781
5,高める,0.01372182982833333,12
6,て,0.012064542183079176,21805
7,くれる,0.019858107725021994,582
8,た,0.02255568967651613,13902
9,と,0.005369100960520325,14565
10,思う,0.024928622766944866,2334
11,は,0.007722927634746233,17146
12,、,0.0031714834593735562,22355
13,どの,0.024831262048330187,106
14,だ,0.012979565833388775,18783
15,です,0.15427589120464336,1374
16,か,0.006032209747879543,4573
17,も,0.0052163793298340725,8562
18,が,0.004689289631255821,18630
19,認める,0.047124754422954544,88
20,ほど,0.17342801051117912,307
21,よい,0.022799778857718066,227
22,に,0.004388606772668887,20483
23,ある,0.005867290234137885,4454
24,##程,0.010250827635878205,78
25,##度,0.048196231476279654,118
26,気,0.01775518063990541,74
27,##に,0.006840955675230937,459
28,##入る,0.004559265165708333,48
29,れる,0.008453490556869895,3328
30,の,0.004641060085681362,19142
31,言う,0.013006064405420011,1804
32,求める,0.020085376741479546,132
33,られる,0.012432905264072749,920
34,ずっと,0.07971208960587746,173
35,ない,0.007601396861740228,12448
36,ので,0.046824767560804205,1403
37,つながる,0.012709673996818181,22
38,する,0.0030755558852937114,14465
39,痩,0.0013886397448466669,15
40,##せる,0.003815614236710695,285
41,増える,0.012715720761906975,172
42,ほとんど,0.019239421999558196,122
43,気づく,0.0038702048280935897,78
44,ぬ,0.021453998868189324,801
45,むしろ,0.06089751629986458,96
46,止まる,0.01935530310799149,47
47,たり,0.026257144708581506,849
48,楽しめる,0.0052285686843611115,18
49,良い,0.03255541265023686,575
50,全く,0.02532230058271753,154
51,思える,0.03253135221270797,113
52,不,0.045671351542649126,57
53,第,0.1070828177239,100
54,すごい,0.05749865535034014,147
55,怖い,0.02463208326659483,116
56,なん,0.011118677012213415,164
57,##だか,0.005213208405943396,53
58,##んだ,0.01301311473482353,17
59,とても,0.10308974312652174,115
60,仲良く,0.013884318385416665,24
61,なれる,0.00540360086366279,86
62,あまり,0.06788432065070707,99
63,なる,0.009663419391043654,3972
64,学ぶ,0.057817006523953475,43
65,##よ,0.0024016200172882257,310
66,##って,0.007352074318041839,299
67,別に,0.06304376945739167,108
68,など,0.010778531435746525,561
69,色,0.012086630083536791,106
70,##々,0.010078637587363637,143
71,けれど,0.031661883493703455,145
72,この,0.020538465963765015,999
73,とし,0.014712047923162485,877
74,##て,0.01924212317615068,1099
75,与える,0.017899439159644443,90
76,。,0.016039619296015283,19078
77,変わる,0.005024134211017371,213
78,なんと,0.1029824493621826,115
79,##なく,0.08421700446381428,70
80,ば,0.003868713180968692,1735
81,教える,0.01164179211907805,123
82,くだ,0.028340636565641668,120
83,##さ,0.002684119024718657,134
84,##る,0.012648478698867744,8489
85,そもそも,0.27716140881936935,222
86,さ,0.03448357780273167,240
87,って,0.11283280839091846,1999
88,当然,0.07718599760738686,137
89,思い,0.010434640285487058,85
90,##こ,0.0018431559974849056,53
91,##む,0.005393304680003103,419
92,で,0.0033540435122403757,9590
93,いる,0.006085520191687043,6497
94,恥,0.0009563224839999999,5
95,##じる,0.009264071070303921,51
96,よ,0.012117199710180052,1835
97,ね,0.008085756517410048,1257
98,やら,0.07898267751220193,104
99,から,0.0031341623016960065,4396
100,とる,0.012949531416654312,116
101,受け入れる,0.003569982033055555,54
102,けど,0.041742800693606856,2188
103,##か,0.013933387596984884,1948
104,まず,0.0630140464308315,146
105,##い,0.004013272428577636,2958
106,間違え,0.01212961664336842,19
107,いろ,0.2430852120820513,39
108,##んな,0.01873656760084583,72
109,知る,0.0032676580312376064,468
110,大,0.024271532881423644,203
111,来る,0.004455801571794545,275
112,のに,0.01507572668977739,575
113,なぜ,0.06449268612912169,189
114,元,0.22028258858728264,92
115,出る,0.0020052767173659647,627
116,い,0.0008184878357483872,186
117,##や,0.02868033142642808,292
118,フェ,0.22402560140153843,39
119,持つ,0.00882057147945926,378
120,許す,0.005709152432081968,61
121,許,0.004784314005681818,22
122,##う,0.017560048084526443,3135
123,し,0.0035402015496866987,1607
124,でも,0.02356538936683023,1072
125,じゃ,0.01747791689635967,1267
126,な,0.00468211329053823,1774
127,そんな,0.0338628337528528,500
128,だって,0.025786420253260223,269
129,あくまで,0.31305165642142857,28
130,だけ,0.04627177049258171,1290
131,過ぎる,0.014939487438457445,94
132,その,0.007329920319753467,1422
133,どう,0.012650007310946659,823
134,なんて,0.02498179626866304,460
135,仮に,0.13226170514054347,46
136,使う,0.017111872365826505,415
137,まる,0.003584222735555556,9
138,っ,0.010307450580871794,78
139,##と,0.009967685924807537,491
140,お,0.06364511082093607,474
141,ちゃ,0.010885507150133556,298
142,笑う,0.0021352293083650793,63
143,しか,0.010166785460529855,617
144,尽くす,0.03799739355,16
145,いう,0.013061724488053397,839
146,割,0.004244026815228572,7
147,##く,0.009322452819398334,780
148,頑,0.024268704260141973,162
149,##張る,0.0048070466811333335,180
150,見る,0.016402586557822178,956
151,大きな,0.012225262069069444,72
152,出す,0.006042482222816187,299
153,添え,0.014929764540000001,5
154,送る,0.013505812780723077,65
155,同じ,0.011145024181610274,399
156,くらい,0.08502285819360443,587
157,そ,0.012423135765399173,121
158,##り,0.021354599514984373,256
159,##ゃ,0.028870335549999997,91
160,他,0.007667956472425,40
161,ながら,0.1381391182341772,316
162,当の,0.0031971,1
163,がる,0.02462447201338571,84
164,う,0.0058401294838081865,2427
165,##ぁ,0.022249006224829965,247
166,繋がる,0.017516282919318185,22
167,聞く,0.01934724068881705,305
168,ます,0.3108341311817012,1312
169,つる,0.005651524667777778,9
170,届く,0.038089044692793346,30
171,き,0.03437735295849351,154
172,もう,0.040036058586083535,504
173,割り,0.009635907196,10
174,##切る,0.0037101041420564097,39
175,泣,0.0029051258618222222,72
176,喜ぶ,0.06080833617597222,36
177,受け止め,0.002488796918181818,11
178,さっ,0.07590897952029413,34
179,忘れ,0.003913131805862886,97
180,いい,0.049624900853314786,1229
181,寄せる,0.014851224575454547,11
182,実際,0.08303550432808968,223
183,新しい,0.009413907152846153,91
184,書く,0.022586485512067187,434
185,付き,0.0247893083763125,80
186,##合う,0.008832055210345224,157
187,ちょっと,0.08626913882310626,240
188,しまう,0.011267276584701735,888
189,別れる,0.009790820921060605,33
190,たい,0.008393468314868601,1208
191,長い,0.007015115838110891,101
192,舞い,0.00030735965,1
193,##上がる,0.003214582338076923,52
194,伝える,0.009421487996444444,72
195,そう,0.005144979851552304,564
196,無い,0.023822448177734695,343
197,らしい,0.023155083492270818,233
198,ピン,0.006788716585555556,9
199,優しい,0.02204502249372222,72
200,考える,0.016210592349943494,584
201,面倒,0.008785435956534781,23
202,##臭,0.0009884969440416668,12
203,すれ,0.00212862564825,8
204,##違,0.0035265890030416673,12
205,少々,0.009935418432666666,6
206,付く,0.02797241427829091,55
207,もっと,0.039604345212880206,192
208,せる,0.010814799189698106,570
209,ほしい,0.019127648278352765,199
210,難しい,0.009019680200663793,116
211,こんな,0.027402967939665204,296
212,いろいろ,0.05833285531227907,43
213,がんば,0.005668069916733332,30
214,取る,0.008321193835611593,207
215,もらう,0.01084680554590821,207
216,##だ,0.002671443568085333,75
217,##てる,0.01409289568948718,39
218,やる,0.011725238656222763,1028
219,やってくる,0.007924604788921054,38
220,##わる,0.004354573441905172,58
221,こい,0.12894394046,8
222,ど,0.03533737888627868,61
223,投げる,0.010814699527,38
224,育つ,0.02497511718619048,21
225,む,0.006408581774295675,37
226,##ず,0.011269955789252427,103
227,##かしい,0.0015068269025014002,50
228,飲む,0.05778124179341184,135
229,抱く,0.006394981726612904,31
230,見せる,0.014074276894166668,54
231,たとえ,0.04270075332941177,34
232,できる,0.007116602101935462,1560
233,かね,0.018164928004814812,27
234,当たる,0.022357793973326084,46
235,うま,0.010856982771428573,7
236,##れる,0.006428619241283843,458
237,わ,0.009826002297689571,326
238,ぐらい,0.11851372293399999,145
239,いける,0.008736385231161728,243
240,こう,0.01852906472603819,144
241,ぞ,0.008387206749020352,199
242,ご,0.031497368706823355,167
243,##っぱり,0.06782145216978022,91
244,くう,0.015478137763199997,5
245,いく,0.019418600093387937,572
246,##すぐ,0.0652420458755,20
247,##たら,0.012665309354807693,26
248,下,0.020829084402555556,27
249,絡む,0.006237050505238095,21
250,ま,0.01060737498174029,479
251,##あ,0.011403213602056208,596
252,##す,0.0038773092950485223,1049
253,結,0.007735824584880003,80
254,##構,0.006020284407823457,81
255,慣れ,0.02183654552928205,39
256,おく,0.013734597760401817,220
257,酷い,0.06294100240417999,50
258,黙,0.0023270223615307686,39
259,そこ,0.008276116715819628,107
260,##そこ,0.06506569851796584,41
261,ともかく,0.07967141501694441,36
262,##ほど,0.012361419174516126,31
263,話す,0.013995534174581818,143
264,え,0.0054396461536858065,155
265,なかなか,0.02506162260594737,38
266,とも,0.1330015552548028,71
267,くる,0.008661751181279468,1182
268,読める,0.002763775961952941,34
269,まで,0.048436690981872636,1004
270,少なくとも,0.16621256214167646,68
271,やめる,0.016636063263103896,154
272,治,0.0018558183898545453,55
273,これ,0.008060472649887837,74
274,##から,0.04876560809859375,96
275,おおい,0.0110452096,2
276,読む,0.012271451430017798,200
277,読み,0.002880760372531579,19
278,##取る,0.013777741367892862,42
279,呼ぶ,0.019378462714034487,116
280,恐れる,0.02388262609857143,21
281,含む,0.025725492366421056,38
282,変える,0.018386662647909998,100
283,べし,0.0562775064787096,365
284,そういう,0.03933938253314977,434
285,基づく,0.0044947865943749995,16
286,だから,0.3380695012958776,245
287,なぜなら,0.19038878937777778,18
288,つまり,0.14748402565824176,91
289,##ついて,0.039513678463593986,266
290,そして,0.17050518276762963,270
291,選ぶ,0.003041263123931035,116
292,何故,0.11499151180363462,52
293,何,0.002740689731605882,68
294,##で,0.01478799540895159,535
295,決まる,0.02267565221864407,59
296,かける,0.0247090300797268,194
297,入る,0.006656293338189893,376
298,積む,0.06971636529700001,20
299,推す,0.05164912128383846,129
300,ク,0.036111324498735636,87
301,##ソ,0.015398660106124243,99
302,喰,0.00042798337175,4
303,##らう,0.0018315926448620689,29
