,word,attn_mean,counts
0,[CLS],0.01380350680754383,2763
1,[UNK],0.306817854331943,4184
2,名詞,0.0018159870814401034,195043
3,くらい,0.12260142925214816,515
4,まで,0.08237094504258091,888
5,だ,0.01868075218877851,16878
6,いい,0.0625504902760288,1010
7,と,0.00820345675345958,13482
8,くる,0.011000889989709344,1176
9,ない,0.01007875675283428,9398
10,いつも,0.1372701359991781,146
11,に,0.009755337491859778,18096
12,なる,0.01292920995840749,3018
13,て,0.013152396427426681,19509
14,しまう,0.011402867592915339,695
15,は,0.015711344528714612,15079
16,を,0.02208076681368699,12253
17,変える,0.009216645680894319,88
18,たい,0.01894164896280475,1314
19,が,0.007756095659379831,14870
20,あ,0.015825843465650424,211
21,、,0.0028246690324721943,21499
22,です,0.1409217976069972,2217
23,飲む,0.034237594842621275,235
24,ます,0.20648951344526223,2366
25,ん,0.020511830567208927,681
26,の,0.005071644805563229,19034
27,##か,0.014131931032143004,1965
28,親しい,0.012380524620166665,6
29,できる,0.008168661791156731,1072
30,。,0.03363203211907348,23266
31,けど,0.055116189789446185,2037
32,すぐ,0.02940226987971286,140
33,話す,0.02624005553498746,177
34,ば,0.006734305986806329,1253
35,か,0.008144292844451853,3639
36,わかる,0.011336415614860512,606
37,止まる,0.010515235354168572,35
38,良い,0.041197977006788636,493
39,いくら,0.043148968065,34
40,##で,0.019990261668310666,588
41,##も,0.008485100135031494,237
42,続ける,0.013837966090976924,143
43,られる,0.010882248086613524,732
44,のに,0.025261172370784138,471
45,なぜ,0.05786008534499999,154
46,話,0.0009103661096383998,25
47,##せる,0.009051809752666484,182
48,う,0.004377582064308887,1829
49,どう,0.008592144980167951,636
50,やる,0.009316819579914502,829
51,いる,0.007682481126851162,5854
52,教える,0.07143319824801977,182
53,欲しい,0.016431952814377326,187
54,ダ,0.004535760285142858,14
55,##サ,0.0020394109729583334,12
56,##い,0.004431500869387362,2973
57,で,0.008158126411100553,8902
58,する,0.00464783309193382,11188
59,も,0.009178511989421202,6513
60,いえる,0.03802932551156345,29
61,生まれる,0.01752939957220102,98
62,育つ,0.013558111451883719,43
63,た,0.019109598330794317,15195
64,言う,0.021889071251620457,1751
65,から,0.004927480594581949,3533
66,そもそも,0.19655581443729853,134
67,とし,0.013036835913441621,710
68,##て,0.021663264244238086,1041
69,あまり,0.06793874949462264,106
70,ある,0.010125516230981383,3733
71,ながら,0.12515797843480453,353
72,すら,0.10899228948189506,111
73,見る,0.02467421431866665,978
74,あの,0.039921789520764,168
75,##う,0.013638304868458413,2858
76,かつて,0.32166364571000006,29
77,そういう,0.04174082626489667,330
78,##よ,0.003165261026377572,173
79,##る,0.01699465645529055,6396
80,せい,0.030077013770616664,12
81,##ぜ,0.005962976750000001,13
82,同,0.07804005000592557,43
83,行く,0.031209918606123266,626
84,やら,0.13143835982151833,83
85,集まる,0.00864901371384889,45
86,多い,0.007551960714347917,529
87,せる,0.015637384420245846,426
88,や,0.01971869116555177,1435
89,##ぐ,0.01678502278330186,127
90,##く,0.008763849816971224,687
91,##む,0.00748897509957921,354
92,たり,0.019748205679988806,761
93,旧,0.1094289268123077,26
94,小さな,0.04216742888429412,34
95,さし,0.0026841636285714287,7
96,##たる,0.00894677689714348,23
97,まず,0.056389360943992384,197
98,書く,0.013423051741403494,714
99,入る,0.01861002028378085,382
100,でも,0.03029703527982974,932
101,落ちる,0.0071495361088825,40
102,食べる,0.019867299237646734,337
103,めっ,0.013893680440439584,48
104,##ちゃ,0.04467385590530816,49
105,さ,0.026311498168339935,309
106,差,0.015204384434345453,11
107,##す,0.003402172604204243,913
108,お,0.07973111282218293,621
109,##め,0.00169095553428,25
110,##とう,0.0006023944849999999,6
111,ご,0.011178328769837438,277
112,##ざ,0.0013386421364822323,112
113,非,0.019228099606159416,69
114,そして,0.13679241703314468,235
115,さらに,0.08596463604565924,54
116,煽,0.0016333833513444444,9
117,続く,0.011309256726397739,84
118,れる,0.01105507346620988,2665
119,多分,0.28176038569707257,62
120,ぐらい,0.13973028267698046,198
121,行う,0.0351367105029029,138
122,いっぱい,0.007351371133413637,44
123,来る,0.010448942093000967,310
124,付き,0.018190663312339376,160
125,##合う,0.01010284328282189,233
126,くだ,0.01979429074682659,173
127,##さ,0.0033909664322758506,200
