,word,attn_mean,counts
0,[CLS],0.12253335036991152,2034
1,[UNK],0.21333080899156928,19034
2,つま,0.018976863150000002,52
3,##る,0.16474084479410392,4715
4,##ところ,0.0835867945,2
5,石,0.03147529767692307,13
6,が,0.007539538661228845,10317
7,ある,0.03258281159894257,2525
8,ば,0.03827374381192047,1031
9,を,0.01776919691165309,8521
10,回す,0.16876147242307693,13
11,わけ,0.07764809558280802,349
12,だ,0.032831831678547044,11425
13,な,0.05909435588131408,1073
14,わかる,0.03345776166373711,388
15,あ,0.10101249060740741,135
16,##ぁ,0.07141296619432624,141
17,４,0.01542445841002444,491
18,０,0.01912334080524277,1936
19,年,0.013221096654696356,494
20,ずっと,0.04964838247469879,83
21,い,0.008150240129625,160
22,##や,0.05416345055687831,189
23,##ー,0.08932539084499999,272
24,た,0.12416337406554923,9832
25,自分,0.1230872623865946,925
26,買う,0.04653224559468619,239
27,の,0.011819051003884522,15310
28,は,0.020074170217534555,10274
29,西,0.0397661299,16
30,セット,0.03187172103913044,23
31,##アップ,0.023645593477777775,9
32,スーツ,0.02503088235185185,27
33,税,0.15778479126296296,27
34,##込み,0.026786848604166667,24
35,７,0.03536544197623794,311
36,円,0.023450723799075635,238
37,ちょ,0.042523329612499994,24
38,##い,0.012992538956187938,2437
39,。,0.19791513699314475,11349
40,今,0.22880645124059829,468
41,状況,0.013662651725609756,82
42,報告,0.04405321619210526,38
43,する,0.02975049223354974,8133
44,理由,0.04020953701306818,176
45,、,0.04499715660321616,11237
46,会社,0.06472720147985074,268
47,に,0.010285927513062301,12327
48,入る,0.0377781702055,200
49,激,0.019864165349999997,10
50,太,0.019176555946153848,13
51,て,0.24327985926608967,13344
52,肩,0.09197626434210525,19
53,合う,0.03538586766666666,78
54,ない,0.032099036771101715,6980
55,なる,0.04302136586310715,2240
56,スラ,0.03229773025,4
57,##ックス,0.026860786000000005,10
58,股,0.016932915783333332,6
59,ところ,0.03185459259508403,238
60,擦,0.009234328583333333,3
61,##れる,0.017451810587879996,250
62,や,0.04621240534009132,1095
63,##ぶ,0.04861570571076923,65
64,から,0.041421059954057024,2455
65,よう,0.01468764661518593,995
66,デ,0.01812659867931035,29
67,##ブ,0.024408779042857136,28
68,安,0.028934821204347823,46
69,月,0.022485234889038457,52
70,##給,0.030930778817142856,35
71,で,0.008618596744728495,5952
72,カツ,0.265455667,4
73,高い,0.05084194494823529,170
74,余裕,0.010902063129000002,30
75,無い,0.05658007203283582,201
76,おく,0.05568572485424837,153
77,と,0.015983832621311964,9033
78,##う,0.021861592848928194,1894
79,意見,0.12808904674868418,76
80,周り,0.04787912450273972,73
81,散,0.016484585399999998,7
82,##々,0.026204425310416668,192
83,聞か,0.018485812,1
84,##す,0.03980297921438017,605
85,れる,0.02579871311897089,1924
86,ちなみに,0.06842698033142858,70
87,仕事,0.06450831687198953,382
88,以下,0.08470938268644737,76
89,とおり,0.01603284616,15
90,中小,0.07789333685714285,7
91,外,0.01681088405670103,97
92,##回り,0.0162156425,6
93,殆ど,0.02778916647857143,14
94,社,0.027957834410714283,84
95,##内,0.01778100186923077,91
96,事務,0.06216318087999999,20
97,中心,0.005460010275185185,27
98,たま,0.08715281156739133,46
99,取引,0.016656347274761906,21
100,先,0.037385597548850576,174
101,挨拶,0.08514666480000001,10
102,行く,0.03790166302117187,384
103,程度,0.047025539517142854,105
104,購入,0.019326224294137932,29
105,編,0.025371036561111112,18
106,破れ,0.016458475,5
107,縫い,0.012733133,2
108,##合わせ,0.02230458961818182,11
109,使う,0.0373861386375685,292
110,いる,0.07051157968629822,3890
111,予算,0.01925380171578947,19
112,２,0.008345133887061052,1425
113,万,0.009388999225365853,205
114,青,0.020298922793333337,15
115,５,0.017231021622809525,546
116,もの,0.05072481866346908,663
117,ン,0.023187392027272727,11
118,ヨー,0.014636063650000001,2
119,堂,0.024640569940000003,20
